code,value,lookup_id,parent_id,order,image_url,section,version
阿斯顿·马丁,阿斯顿·马丁,1,-1,0,/brands/1.png,A,1
安凯客车,安凯客车,1,-1,0,/brands/2.png,A,1
奥迪,奥迪,1,-1,0,/brands/3.png,A,1
巴博斯,巴博斯,1,-1,0,/brands/4.png,B,1
宝骏,宝骏,1,-1,0,/brands/5.png,B,1
宝马,宝马,1,-1,0,/brands/6.png,B,1
保时捷,保时捷,1,-1,0,/brands/7.png,B,1
北京,北京,1,-1,0,/brands/8.png,B,1
北汽幻速,北汽幻速,1,-1,0,/brands/9.png,B,1
北汽绅宝,北汽绅宝,1,-1,0,/brands/10.png,B,1
北汽威旺,北汽威旺,1,-1,0,/brands/11.png,B,1
北汽新能源,北汽新能源,1,-1,0,/brands/12.png,B,1
北汽制造,北汽制造,1,-1,0,/brands/13.png,B,1
奔驰,奔驰,1,-1,0,/brands/14.png,B,1
奔腾,奔腾,1,-1,0,/brands/15.png,B,1
本田,本田,1,-1,0,/brands/16.png,B,1
比亚迪,比亚迪,1,-1,0,/brands/17.png,B,1
标致,标致,1,-1,0,/brands/18.png,B,1
别克,别克,1,-1,0,/brands/19.png,B,1
宾利,宾利,1,-1,0,/brands/20.png,B,1
布加迪,布加迪,1,-1,0,/brands/21.png,B,1
昌河,昌河,1,-1,0,/brands/22.png,C,1
长安,长安,1,-1,0,/brands/23.png,C,1
长安商用,长安商用,1,-1,0,/brands/24.png,C,1
长城,长城,1,-1,0,/brands/25.png,C,1
成功汽车,成功汽车,1,-1,0,/brands/26.png,C,1
DS,DS,1,-1,0,/brands/27.png,D,1
大众,大众,1,-1,0,/brands/28.png,D,1
道奇,道奇,1,-1,0,/brands/29.png,D,1
东风,东风,1,-1,0,/brands/30.png,D,1
东风风度,东风风度,1,-1,0,/brands/31.png,D,1
东风风神,东风风神,1,-1,0,/brands/32.png,D,1
东风风行,东风风行,1,-1,0,/brands/33.png,D,1
东风小康,东风小康,1,-1,0,/brands/34.png,D,1
东南,东南,1,-1,0,/brands/35.png,D,1
法拉利,法拉利,1,-1,0,/brands/36.png,F,1
菲亚特,菲亚特,1,-1,0,/brands/37.png,F,1
丰田,丰田,1,-1,0,/brands/38.png,F,1
福迪,福迪,1,-1,0,/brands/39.png,F,1
福汽启腾,福汽启腾,1,-1,0,/brands/40.png,F,1
